review_body,product_category
La livraison chez Amazon c’est de pire en pire ! Commande arrivée dans les temps mais elle ne m’a jamais été remise en mains propres ! En rentrant chez moi (il y avait quelqu’un à mon domicile) j’ai eu la désagréable surprise de voir mon colis dépassé du paillasson de ma porte d’entrée ! La personne n’a même pas pris la peine de sonner ou de le déposer dans ma boîte aux lettres. N’importe qui aurait pu le voler ou marcher dessus. C’est inadmissible !,other
"Très déçu. Livre tres ancien, fripé, pages très jaunies. Je mis attendait pas.",book
Je n'ai pas reçu l'article commandé. Le vendeur a été très réactif il a fait un remboursement.,wireless
"Pas de chance ou produit qui n'est pas universel... Le ventilateur reste au niveau de mes genoux, c'est désagréable et inefficace! Bien vérifier si ce coussin est adaptable à votre véhicule.",personal_care_appliances
tout est dans le titre. Alors effectivement c'est un article re-conditionné mais à mon sens cela ne devrait pas être synonyme d'abimé. Bref je déconseille d'acheter des articles re-conditionnés.,office_product
Chauffe et devient une lampe clignotante...,home
"J'avais bien lu les commentaires négatifs mais j'ai voulu essayer, en effet ça glisse, ne reste pas en place. Mis une seule fois. Je ne recommande pas.",drugstore
"n'éclaire pas selon mes espérances (remplacement d'un crayon halogène). n'a de dimmable que le nom, avec un variateur de lumière type lampadaire halogène, la lampe reste allumée curseur à 0. Oblige donc à débrancher. 10 w tellement faible que le dimmable est inutile. produit non compatible en remplacement halogène... retour à l'envoyeur.",home
J'ai fait tombé mon téléphone de mon fauteuil environ 40cm et la coque c'est cassé au bout de 2 jours !,wireless
"Mauvaise qualité,difficile a ouvrir, cabossé, minuscule. Je ne recommande absolument pas ce produit. bas de gamme. Je suis déçue et je ne l'aime pas.",home
Nul le code ne fontionne pas. EA sport m’informe que le code n’est pas valide. Une commande que je dois retourner. Heureusement Amazon est comprehensif.,video_games
Une belle cochonnerie !!!! Trois jours que je m’en sers et les coutures lâché déjà...,drugstore
"Bonjour, Le produit est arrivé avec le bouchon cassé, dommage",pet_products
"Téléphone bloqué par un second code PIN, j’ai envoyé le téléphone pour des réparations à la société qui m’avait été indiqué. Depuis cette dernière me demande une facture que j’attends en vain depuis des mois.",wireless
"L'écran s'est décollé au bout d'une semaine, ne colle pas bien et le tactile est moins réactif. Je déconseille",wireless
"Ecran trop petit, il manque 2mm au moins. Du coup ça ne protège pas tout et surtout ne recouvre pas assez la partie utile de l'écran. Dommage",wireless
"Reçu matelas avec Tâche de graisse dans son emballage ,un fournisseur qui est peu attentif à la qualité de son produit produit",furniture
Acheter pour le Noel canadien mais jamais reçu..,drugstore
"Trop gros, dénature l iwatch, le contour intérieur en métal brillant, qui est vraiment inesthétique. Et l’écran n est pas protégé. Article retourné pour remboursement",wireless
impossible de lire une clef usb sur ce support. l'écran est fissuré et la tablette n'est plus du tout utilisable.l'ouverture de la fente pour installation carte micro sd pas du tout pratique.,pc
"Ce fauteuil correspond à ce que j'ai recherché (hauteur de l'assise, l'inclinaison, repose jambes) mais il y a déjà des problèmes au bout de 2 jours d'utilisation. Lorsqu'on incline le dossier les vis des accoudoirs se desserrent assez rapidement ça va vite devenir désagréable dans le temps. Le levier pour faire descendre l'assise m'oblige à faire pencher le fauteuil légèrement vers l'arrière pour le faire descendre. L'appui tête n'est pas stable car j'ai seulement le côté droit que j'arrive à régler à la bonne position alors que le côté gauche ne tient pas. Le coussin lombaire n'est très ergonomique et me sert uniquement comme repose tête en mode fauteuil allongé et j'ai dû réutiliser mon ancien cousin lombaire. Par ailleurs je ne pense pas que ce fauteuil est adapté au personne de grand gabarit à cause de sa hauteur d'assise et de sa largeur également heureusement ce n'est pas mon cas. Vu le poids du fauteuil 25Kg je ne vais pas me casser le dos pour le renvoyer. Au final le rapport qualité prix n'est pas là.",office_product
"évaluation impossible, le colis devait être livré pour le 10 novembre et je n'ai rien reçu, j'espère l'avoir demain et qu'il ne soit pas perdu sinon je vais être déçue",home
"Beaucoup de bulles, ne répond pas du tout à mes attentes pour une bonne protection de l'écran. Je ne recommande pas du tout.",wireless
"Déçu je pensais que la réception était meilleur dommage , niveau d’insigne rien à dire",automotive
"Sans intérêt ,poil beaucoup trop souple ,on a l'impression de se brosser les dents avec le manche,par contre parfait pour nettoyer montre et bijoux.",home
J'ai acheté cette tablette pour mon enfant mais je suis déçu car la tablette bug à plusieurs reprises au niveau des boutons de mise en marche mais aussi courant la navigation.,wireless
"Arrivé complètement cassé, usé.. WTF ? Je ne recommande pas du tout !",jewelry
"C’etait Pour offrir. J’ai reçu comme emballage le carton original du produit. Dans un point de vue ecolo, ça ne me dérange pas. Mais dans le cas où ce carton est complètement abîmé par le voyage, trou béant avec risque de perdre un objet, scotch de la poste à certains endroits. Inadmissible. Ce n’est pas la première fois que cela m’arrive avec Amazon. Il faudrait revoir vos conditions avec la poste!!!!",toy
Fortement déçue... Achetez vos livres en magasins ils n'arriverons pas abîmés comme celui si. Un livre corné en haut à droite ... Alors que l'emballage est intacte. Très étrange . Seule solution proposé renvoyé l'article et donc vous déplacé = frais supplémentaires Je vous deconseille fortement cet achat.,book
Les dents ne sont pas assez rapprochés pour attraper quoi que ce soit ..,pet_products
lamentable cette habitude des fabriquants de plus en plus courante de livré des produits dépourvu de toutes instructions,musical_instruments
"Très déçu de la réception. La carton du gaufrier n'était pas emballé et est arrivé très abîmé (avec toutes les étiquettes collés dessus...pas très joli pour un cadeau). J'ai ouvert pour vérifier l'état du gaufrier et le pied est complètement éclaté en mille morceaux. Je le renvoie, j'espère que l'emballage du prochain sera plus protecteur.",kitchen
"L'objet est arrivé cassé. Pour le prix, je ne vais pas entamer des démarches mais je suis dégouté. je déconseille ce produit et ce vendeur...",home_improvement
L'article n'est jamais arriver à destination et le vendeur ne me donne pas de suite à mes message. Je n'ai jamais vraiment eu de souci. Je ne commanderai plus sur Amazon très déçu.,apparel
"produit à déconseiller fortement !! il indique des valeurs complètement farfelues et dangereuses même pour la conduite ! comme j'avais des doutes sur la pression de mes pneus prises avec ce petit appareil je suis allé dans une station de gonflage à proximité et j'ai constaté que les valeurs réelles étaient complètement différentes... en l'achetant j'avais été pourtant séduit par le côté pratique de sa taille et de son poids permettant de l'avoir tout le temps avec soi (voiture, maison,...) mais compte tenu de ses dangerosité et inefficacité, je l'ai mis de suite ... à la poubelle !!",automotive
Arnaque! Article jamais reçu,home
Impossible de paramétrer pour recevoir mes sms ou autre !!!,sports
"Aucune ne fonctionne, lors d'une impression en noir et blanc l'encre ressort fuchsia très clair, illisible",office_product
Aucun effet !!!!!!! Un bon verre d'eau fera autant d'effet. Je le déconseille. Autres produits nettement plus performant. A suivre,drugstore
Je me suis fait avoir. Bien plus cher qu'en magasin,grocery
Après seulement quelques jours d'utilisation la batterie n'a plus fonctionné,personal_care_appliances
"Juste catastrophique. Le tactile est plus que moyen, le verre ne tien pas... Le 2 ème ma lâché des le 1 er choc.. tomber de ma chaise sur du sol en revêtement en plastique",wireless
Protection trop petite par rapport à l'écran de mon téléphone. Pourtant le modèle y était référencé.,wireless
Ne corresponds pas à mon téléphone. Trop petit,wireless
Pas le produit commandé,home
"On ne peut pas suivre l'histoire , car la même page est imprimée en double. J'ai demandé un retour. Le nouveau livre a toujours le même problème.",book
"J'utilise Kaspersky depuis plusieurs années sans aucun souci, mon ordinateur est protégé. Je recommande donc cette version.",other
"très très moyen, ça sent un peu l'arnaque. je ne recommande pas du tout ce produit très bas de gamme.",home
3h de charge pour seulement 3h d'éclairage. Décevant.,home_improvement
"Cet article, décrit comme une carte de 256Go, n'en fait en réalité que 16Go une fois testée. Évidemment vu le prix il fallait s'y attendre. Je ne suis pas le 1er à le signaler : quand est-ce qu'Amazon va interdire la vente de ce produit ?",camera
Je n'ai pas encore reçu! La livraison est très long!!!! Je ne sais pas si ils vont me envoyer ce objet?,home
Bel ensemble pour barbecue mais je l'ai renvoyé.,lawn_and_garden
Aucun intérêt. Utilisé pendant 3 nuits envahies de moustiques. Aucune prises et plusieurs dizaines de piqûres. On est pas loin de l'arnaque avec ce produit. Passez votre chemin.,lawn_and_garden
Moitier des ampoule ne fonctionne pas,automotive
"La taille du film protecteur est beaucoup trop étroite ça laisse une marge d'au moins 2 millimètres c'est très moche, et bizarre quand je clique sur l'annonce de ma commande ce n'est plus le même modèle qui est indiqué, donc ça sent un peu l'enfumage. Bref à éviter.",wireless
J'ai acheté ce mug pour son effet amusant car il est censé changer de couleur. Or cela ne fonctionne pas : il faut que l'eau soit non pas chaude mais bouillante et même là encore le dessin a bien du mal à changer.... Cher pour une tasse basique finalement,kitchen
Ne correspond pas à l'appareil,wireless
le plafonnier est en panne après moins de trois mois - un des LED ne fonctionne plus. je cherche remplacement,home
Arnaque!! Attention il ce trompe de produit. Les frais de retours sont à votre charges. Il ne fait aucuns gestes commerciale. Je déconseille!,baby_product
"Bonjour, Non malheureusement, je ne recommanderai pas ce produit !!! A commencer, une pièce manquante lors de la livraison. Le tube central ne s'y trouvait pas. AMAZON m' a fait livrer cette pièce. Lors de la réception, je monte ce produit et je constate que le tube ne peut pas rentrer car des encoches sont situés à une extrémité. Soit ce tube ne correspond pas à cet article donc erreur d'AMAZON où c'est une erreur de conception. J'ai dû demander à une tierce personne de scier ce tube à l'extrémité pour pouvoir finir de monter mon ventilateur. De plus, le mode d'emploi du produit peu explicite.",home_improvement
Ce film se décolle légèrement sur les bords après 2 jours de pose. J'en ai pris 3 car au bureau on a 3 oneplus 6 et le problème est présent sur tous les téléphones. Ça n'empêche pas l'utilisation et il reste quand même en place mais a ce prix là c'est pas acceptable,wireless
lorsque l'on demande une livraison a domicile et que le transporteur UPS ne livre pas et que l'on se retrouve à aller le récupérer sur un point de retrait ce n'est pas normal .. je ne trouve pas sur le site ou faire une réclamation alors je passa par ici ...,beauty
"Très mauvaise expérience pas à cause du produit, je n'ai pas eu le plaisir de l'essayer. Malgré une boîte scellée aucun produit à l'intérieur. Il s'est volatilisé en cours de cheminement",drugstore
"le clavier n'est pas AZERTY,le clavier italien Windows langue italienne c'est très mauvais le pc et très lent et pour allumer il faut appuyer très dur""",pc
LES DISQUES DE MOTIFS NE MARCHENT PLUS AU BOUT DE 5 UTILISATIONS,lawn_and_garden
"Pas de résultats spectaculaires sur mon canapé, peut être est ce du à la matière (tissu coton dur)",pet_products
Une arnaque. L’air fuit sur le dessus par le piston il n’y a pas d’étanchéité dans le tube. Argent jeté par la fenêtre et évier toujours bouché,home_improvement
Bonjour je n'ai jamais reçu ma commande où puis je vous contacter svp car j'ai été prélevé mais rien reçu...,other
Malheureusement l'un des dvd ne peut se lire qu'en anglais,other
Difficile à installer sans poussière,wireless
COLIS LANCE par desssus le portail.,pc
Pas top ............::::je prendrai meilleurs marque la prochaine fois Le prix est en rapport à la qualité pas super terrible,drugstore
J’ai dû retourné le produit car il n’est pas d’une super qualité,sports
Pas d’oeil céleste pour sur la photo Je me demande si c’est une vrai pierre,home
J'aurais mis 5 étoiles si la Télécommande n'était pas de mauvaise qualité et fonctionnais correctement. Du coup ont peut pas choisir les autres modes de fonctionnement. Sinon les motifs et toutes les cartes de dessin sont sympa.,musical_instruments
Tige trop épaisse qui a donc des difficultés à entrer dans le nez. Il est par conséquent gênant et douloureux. L'acier fait noir et le brillant ne brille pas donc poubelle.,jewelry
Objet endommagé à la livraison . C’est honteux à ce prix là,home
"J'ai acheter deux chargeur comme celui ci, ils chargeait des piles eneloop pro AA, la plupart du temps deux pile chargé a bloc c'est a dire 2800 a 2900 mah, et les deux autres se tenaient aux environs de 2000 mah, donc deuxièmes recharge pour ces dernières et rarement une troisième, par chance ce chargeur n'avais plus d'affichage pour la premiere pile, donc renvoie, le deuxième ira a mon avis a la poubelle , mes piles ne sont pas a mettre en cause car j'ai acheté a la place un autre chargeur, d'une autre marque ,avec ce dernier, une charge suffit et mes piles dépassent les 2800 mah, et du premier coup et ce peu importe l'intensité de charge",electronics
pour ne pas dire pou... Crashe autant que possible. Retourné,electronics
Article de mauvaise qualité. À la première utilisation une pièce s’est cassée. Je pensais avoir acheté des toupies Beyblade de cette marque !,toy
"Très déçu du produit et du vendeur, le calendrier était intact, le carton n'avait rien pourtant les pièces n°3, 4 et 16 étaient manquantes. Nous avons même ouvert toute la boîte au cas où des pièces se seraient glissées sous le plastique mais rien. Quand je l'ai signalé au vendeur, une seule et même réponse, quelles sont les références des pièces manquantes ? Je ne vois pas comment je pourrais donner les références de pièces que je ne possède pas enfin soit. J'ai quand même pris la peine de faire des recherches sur internet mais en vain. Donc je me retrouve avec un article incomplet et un vendeur incapable de me donner une réponse. Je ne le recommande pas du tout.",toy
TRES MOCHE MAIS PARFAIT POUR LES ACCESSOIRES DE DEGUISEMENT POUR MA PETITE FILLE,jewelry
Livraison en avance mais un gros soucis... il devait manquer que la notice et à l arrivée ni boite ni jeux préinstallé !,video_games
Montre connectée n est pas compatible avec Android très insatisfait je ne recommande pas et je ne recommanderais pas ce genre de produit,wireless
Reçu hier première utilisation elle a explosé dans toute la cuisine avec du verre propulsé. N'ayant malheureusement pas lu les commentaires avant de commander je ne comprends pas qu'elle soit toujours en vente malgré les incidents. C'est un danger !,kitchen
Il n'y a pas de documentation ni de schéma livrés avec.comment faire pour le raccorder?,home_improvement
"Livraison posée DEVANT la porte de mes voisins alors qu'ils étaient présents. NOUS ETIONS PRESENTS EGALEMENT ET ATTENDIONS ces 2 LIVRAISONS. AMAZON a écrit - concernant la livraison - LE COLIS A ETE REMIS ""EN MAINS PROPRES"" À L'ADRESSE DE LIVRAISON. c'EST INADMISSIBLE;",home
Mis 1 fois et le bracelet a cassé directement. Sinon reçu assez rapidement. Pour le prix je ne me permettrais pas de me plaindre plus que sa..,home
Il me faut svp le portant de la mariee. Celui de la corde je n’en veux pas,home
Attention capteur d'empreintes ne fonctionne pas! Remboursement demandé,wireless
"J'ai demandé à me faire rembourser cet achat. Expédié, reçu par Amazon. Jamais remboursé malgré mes 2 appels. Étonnante manière de faire... J'ai bien compris que je ne reverrai jamais mon argent, ni ma montre.",wireless
"Ces produits ne sont plus disponibles, ne les achetez pas car vous ne les recevrez jamais et ne serez pas remboursés...",home_improvement
4 chocolat à ce prix ridicule,grocery
"Pour un produit à 20€ pas de problème, mais pour un produit à 399€ pas livré Il n'est pas gêné d'être riche M BEZOS.",kitchen
"Quelle déception. Je viens d'offrir ce jeu à quelqu'un et là, à l'ouverture de la boîte... Aucun jeton ni livret de règles à l'intérieur alors que le jeu était sous blister. Comment faire maintenant? Et c'est un jeu jura fabriqué en France...",toy
Pas reçu j'attend une communication du vendeur au minimum un renvoi ou un remboursement je ne peux pas parler de l'article je ne l'ai pas malheureusement,drugstore
ZÉRO ÉTOILE !!! Colis reçu en main propre FAUX !!! Je viens de rentrer du boulot et rien dans ma boîte à lettre rien chez la gardienne !!!,sports
L appareil en plastique ne tiens pas comme il faut,wireless
Mon colis aurais du être livré lundi y a écris livrée à mon adresse mais pas reçu ça fait 2 fois sur Amazon,apparel
Je l'attends depuis 2 mois et demi... 14 juin- 31 août... J'espère que le vendeur me contactera suite à ce commentaire !,home
Ne fonctionne plus après trois mois d'utilisation,electronics
produit acheté le 27 12 2017 et deja hs n'indique plus la t° malgré divers essai le produit d'origine avait durée 7 ans,lawn_and_garden
"a la 1ère utilisation pour ouvrir des huîtres, la lame s'est cassée en 2 au niveau de l'articulation j'avais bien lu des commentaires d'utilisateurs, qui eux aussi ont connu ce déboire... dommage car le principe était astucieux, mais la fabrication est de mauvaise qualité",home
cette friteuse ressemble plus a un jouet qu'a une friteuse. C'est une arnaque,kitchen
Je n’ai pas reçu l’article!!! Visiblement déposer dans la boîte à lettres selon chronopost mais rien du tout ( en même temps déposer un panier dans une boîte à lettres...),home
ARNAQUE PRODUIT JAMAIS REÇU MAIS PAYER !!!,baby_product
"Il y a rien pour fixer la nourriture, la souris se sert sans que la tapettes se déclenche, même en attachons la nourriture la souris arrive toujours à se servir sans qu'elle se déclenche.",lawn_and_garden
"Article sans aucun intérêt, pour pouvoir sans servir il faut appuyer sur le manche, comme celui-ci est en plastique il risque de casser. j'ai demander est obtenu le remboursement pour cet article sans problème.",home
"en 2 semaines d'utilisation, voici mon retour : Fiabilité : très faible => elle est s'est arrêtée sans vouloir redémarrer 2 fois de suite à charge pleine...et la deuxième fois, elle n'a jamais voulu redémarrer, donc je la renvoie à amazon Esthétique et design : belle => cette trotinette est la copie visuelle conforme de la xiaomi 365 sans la qualité. exemple 01 : le pliage n'est pas souple exemple 02 : le loquet qui permet de transporter la trotinette à la main en l'ayant pliée ne tient pas, donc c'est même dangereux car la trotinette se déplie d'un coup et vous tombe dessus ! pour les fonctionnalités et les promesses de vitesse et puissance : => l'autonomie est de 12 km maximum et je dirai plutôt 10 => la vitesse est de 25km/h à pleine charge sur 2 km après c'est max 18-20 km/h pour le freinage, il fonctionne",sports
Je suis déçue une de mes boucles d’oreilles est cassée comment puis je procéder? Pour en avoir une autre paire svp.merci.,home_improvement
"Après de nombreuses tentatives, je n'ai pu mettre en connexion le capteur extérieur avec la station de base. La station ne m'est donc d'aucun usage. Existe-t-il une garantie ?",lawn_and_garden
Bonjour Je n’ai pas reçu l’aloe Vera. Il n’était pas dans le colis accompagné d’une autre crème. Pouvez-vous faire svp le nécessaire? Merci,beauty
le produit est bien. par contre je n'ai pas fait attention à la hauteur pour monter sur ce vélo. N'étant pas tres grand il m'est difficile de monter sur selle. Est il possible d'échanger avec un autre modèle?,sports
"J'ai utilisé le produit pour une soirée, il a tenu à peine une heure",home
"Tous mes commentaires précédents ont été censurés par Amazon, alors je vais faire simple : Produit commandé, comme étant en stock, le 15 septembre (et il l'est resté tout du long), après plusieurs contacts avec le service client amazon, produit finalement reçu le 27.",office_product
Message du livreur !! Le colis a été laissé à l'intérieur de la boîte aux lettres de la maison. Il s'agit d'un panneau solaire. Produit déjà payé et aucune réponse au mail de la part d'amazone. Et chronopost ne ve rien savoir ce n'est pas leur probleme,lawn_and_garden
"je viens de déballer la montre aujourdhui et apres l'avoir mise en charge comme stipulé dans la notice il est impossible de la mettre en fonctionnement , rien ne se passe. je vous demande le remboursement par retour",sports
C'est un produit datant de 2012 et qui ne fonctionne pas !,pc
"Pour un prix plutot cher ( mais pas compare aux autres prises, 50€), j’ai achete 2 multiprises pensant faire un bon achat. La premiere a 2 led defectueuses et une prise qui ne fonctionne pas. La deuxieme ne marche tout simplement pas, les plombs sautent quand je la branchent. Elle est moins cher que les autres, mais autant mettre 10 € de plus pour que ca fonctionne",home_improvement
sécher du linge pas pour faire des brochettes!!!!! le produit est plus court qu'une pince à linge en bois.,home_improvement
"Pas solide, bord voyant",wireless
JE N AI PAS RECU MA COMMANDE,home
Je n'avais même pas les bonnes couleurs j'ai du prendre des restes des autres,toy
Ça a été livré en retard et je n'ai pas pu le recevoir avant mon départ,home
"À éviter l’objet jamais reçu, ne communique pas le numéro de suivi de votre colis malgré plusieurs demandes. Perte de temps très déçue !",home
Vraiment de l’argent mis en l’air...c’est ce n’est pas Cher mais il vaut mieux s’abstenir passer votre chemin ou mettez un budget plus conséquent,electronics
voila tout est dans l'image....ma télé a un trait rouge en plein milieu après juste un mois de mise en marche.,other
j'ai acheté cette poupée pour ma petite fille car on partait à la mer. A aucun moment elle n'a rougie très décevant! les piles étaient neuves on l'a laissée en plein soleil rien du tout,toy
"Pour l'instant, le produit a 2 jours de retard de livraison. Aucun commentaire possible donc",electronics
Très mauvaise qualité du double face. On a du mal à détacher le premier papier et ensuite ça colle très mal sur les plastiques de l'habitacle. Pour moi ça a tenu 2 semaines....,automotive
"Tout est dit dans le titre, sachant que la garantie est de 2 ans... direction la déchetterie, quel monde fantastique !",kitchen
Impossible de passer du jetable à ce rasoir Il va me falloir des mois d'entraînement,drugstore
Se décolle au bout de quelques secondes Il a fallu mettre du scotch :-(,office_product
"Le clavier ne peut pas fonctionner avec le cable USB, qui ne sert qu'à charger la batterie. Il n'y a rien pour ranger/attacher le dongle sans fil, que vous perdrez à coup sûr.",pc
Toujours en attente.,drugstore
"Les préservatifs sont arrivés sans boîte, en vrac, dans le carton Amazon, lequel était d'ailleurs mal fermé... Est-ce bien légal de faire ça, d'ailleurs ? Où est la boîte scellée de la photo ? Et c'est même pas un vendeur tiers, c'est Amazon... J'hésite à les renvoyer puisqu'on ne peut même pas contacter un quelconque service client.",drugstore
Je n ai toujours pas recu ma commande vous deviez me donner des nouvelles . J attend de savoir ce qu il en est. Cordialement,office_product
Inutile car ne recouvre pas tout l'écran.,wireless
"L'assortiment de couleurs correspond mais le modèle livré est moins large, il manque la partie élastique. Même modèle en doubles exemplaires dans chaque couleur.",apparel
"J'ai acheté ce testeur depuis un bon moment et je n'avais pas eu l'occasion de l'utiliser (du coup je ne peux plus le renvoyer). Il donne n'importe quoi comme résultat, il a donné 1,2 g sur une personne qui ne boit aucun alcool depuis 10 ans et 0.2 g sur une personne bien alcoolisée ! Surtout ne l'achetez pas pour savoir si vous pouvez conduire car c'est un danger cet appareil.",automotive
"Ne remplit pas son fonction, pied trop léger donc le balai tombe.",home
l'ete est pas fini mes deux appareils sont en pannes de neons,home_improvement
"Bonjour, à ce jour, je n'ai pas eu de sms m'informant que cet article était à ma disposition. Je vois remercie de me tenir au courant de la suite donnée à ma demande. Bien cordialement. Mme Dominique Clément, une cliente très fidèle.",other
Le produit n'a pas fonctionné,pc
Au bout de 2 mois d utilisation pour un bébé de 5 mois les oreilles ne fonctionne plus ....bref a fuir,toy
La pochette est arrivée abîmée. Et quelle idée de coller des étiquettes sur chaque face qui arrachent la surface du carton en même temps qu'on les retire...,office_product
"J'avais mis 5 étoiles, mais finalement n'a fonctionné que quelques heures. En cas de problème le retour est à votre charge, le vendeur n'est pas très professionnel.",video_games
Pas reçu car colis égaré donc pas de commentaire ! Donc déçu de pas l avoir reçu ce manteau car mon fils y tenait !,apparel
N as pas fonctionné longtemps,wireless
Ne fais pas naturel de tout et le filet n’est pas discret je regrette l’achat malgre les bons commentaires lu avant,beauty
Ils sont violets et non rose ! Donc normalement moins cher,baby_product
Je suis un peu déçue de la qualité de son du produit J'avais exactement le meme article que j'ai perdu. Il fonctionnait beaucoup mieux que celui ci. Bon retour music bon son ét la j'ai l'impression d'etre au minimum du son alors que je suis au maximum.. a ce prix là je m'attendais à beaucoup mieux Je Mattendais aussi à avoir un cable de chargement et il n'en est rien… Produit surement à retourner pour en racheter un autre,electronics
